Yıl,İl Kodu,İl Adı,Genel toplam,Genel toplam,Genel toplam,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlkokul,İlkokul,İlköğretim,İlköğretim,İlköğretim,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksek lisans,Yüksek lisans,Yüksek lisans,Doktora,Doktora,Doktora,Bilinmeyen,Bilinmeyen,Bilinmeyen
,,,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın
2008,35,  İzmir,3497150,1744457,1752693,166484,32309,134175,574853,278287,296566,1077920,517324,560596,330330,174532,155798,190770,110816,79954,640821,338736,302085,279028,156031,122997,16897,9468,7429,6057,3585,2472,213990,123369,90621
2008,36,  Kars,275035,144790,130245,30622,5814,24808,73663,36769,36894,57882,31918,25964,31248,18209,13039,7761,5375,2386,31932,21390,10542,7003,4563,2440,442,280,162,166,134,32,34316,20338,13978
2008,37,  Kastamonu,333835,163210,170625,44166,9689,34477,60503,29036,31467,115747,55864,59883,33667,16926,16741,12674,9767,2907,40737,25770,14967,13165,8667,4498,568,362,206,131,87,44,12477,7042,5435
2008,38,  Kayseri,1054869,528915,525954,66524,10421,56103,219109,105472,113637,303454,145783,157671,107905,56082,51823,45181,30042,15139,169007,99877,69130,55880,36101,19779,2951,1650,1301,774,547,227,84084,42940,41144
2008,39,  Kırklareli,315403,163089,152314,13347,2961,10386,48959,24018,24941,117536,55132,62404,28981,16019,12962,16926,10383,6543,57892,33947,23945,17353,10467,6886,720,475,245,85,53,32,13604,9634,3970
2008,40,  Kırşehir,204465,101071,103394,17696,3192,14504,39067,19110,19957,62107,28932,33175,22171,11371,10800,9808,6558,3250,34200,20124,14076,9678,6503,3175,402,277,125,104,78,26,9232,4926,4306
2008,41,  Kocaeli,1342790,680298,662492,62883,11332,51551,261063,125805,135258,383177,174996,208181,142575,73991,68584,71628,46508,25120,248643,148641,100002,75520,47046,28474,4443,2889,1554,1047,679,368,91811,48411,43400
2008,42,  Konya,1761899,867869,894030,117969,18257,99712,358755,176503,182252,636522,291115,345407,204141,102026,102115,61072,44352,16720,231605,141443,90162,81757,54624,27133,5063,3279,1784,1688,1210,478,63327,35060,28267
2008,43,  Kütahya,522069,257799,264270,42687,8963,33724,89712,43945,45767,200323,88030,112293,53501,26615,26886,22191,16706,5485,77496,50398,27098,21342,14488,6854,1298,842,456,333,257,76,13186,7555,5631
2008,44,  Malatya,659423,328652,330771,66326,13616,52710,143178,70023,73155,146589,70355,76234,74581,38821,35760,32679,21837,10842,112330,66685,45645,31603,20500,11103,1202,815,387,480,344,136,50455,25656,24799
2008,45,  Manisa,1205260,598750,606510,97996,20141,77855,224522,110196,114326,473981,236168,237813,120673,61760,58913,40974,27150,13824,149400,84342,65058,50042,31408,18634,1901,1166,735,436,305,131,45335,26114,19221
2008,46,  Kahramanmaraş,899486,454715,444771,97569,19068,78501,226848,112540,114308,235710,123193,112517,108745,55794,52951,33068,23096,9972,111467,69986,41481,29978,20366,9612,1596,1120,476,406,312,94,54099,29240,24859
2008,47,  Mardin,638032,321059,316973,108707,25886,82821,222460,108413,114047,92916,55157,37759,75780,44734,31046,12050,8382,3668,63538,44817,18721,11880,8538,3342,748,540,208,99,71,28,49854,24521,25333
2008,48,  Muğla,723369,370766,352603,31576,5704,25872,117950,58125,59825,266395,133019,133376,66406,35063,31343,29381,18849,10532,115880,64458,51422,47792,27685,20107,2051,1234,817,536,362,174,45402,26267,19135
2008,49,  Muş,341173,174681,166492,59310,13741,45569,132959,66967,65992,44290,28854,15436,31864,21045,10819,5439,4131,1308,23809,18066,5743,4753,3315,1438,204,151,53,46,29,17,38499,18382,20117
2008,50,  Nevşehir,254147,125012,129135,18576,2505,16071,51948,24648,27300,90509,43465,47044,28758,14496,14262,11596,7897,3699,33510,19939,13571,10609,6981,3628,409,273,136,102,78,24,8130,4730,3400
2008,51,  Niğde,301000,150058,150942,26363,3831,22532,67764,32840,34924,97501,50627,46874,35581,17958,17623,10340,7038,3302,37136,21955,15181,12336,7616,4720,714,461,253,241,183,58,13024,7549,5475
2008,52,  Ordu,658351,327468,330883,84429,17406,67023,142611,70432,72179,187093,99699,87394,70646,35758,34888,26114,17563,8551,87583,51198,36385,24726,15800,8926,823,545,278,191,136,55,34135,18931,15204
2008,53,  Rize,292348,143814,148534,22854,2481,20373,59456,25838,33618,86965,44425,42540,30996,15521,15475,12026,8693,3333,46461,27444,19017,13309,8720,4589,592,392,200,133,99,34,19556,10201,9355
2008,54,  Sakarya,772842,386094,386748,43246,7422,35824,151720,72653,79067,262663,122197,140466,81087,40654,40433,36450,25224,11226,118536,71469,47067,32837,21410,11427,2152,1438,714,658,502,156,43493,23125,20368
